source_rank,company_name,domain,api_name,requested_contact,field,status,reason,raw_response_path
1,DBS Group,dbs.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/dbs_group.json
1,DBS Group,dbs.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/united_overseas_bank.json
