source_rank,company_name,domain,input_linkedin_url,source_basis,api_name,request_status,raw_response_path,legal_name,legal_name_source_field,legal_name_status,website_domain,website_domain_source_field,website_domain_status,linkedin_url,linkedin_url_source_field,linkedin_url_status,employee_count,employee_count_source_field,employee_count_status,headcount_growth_1_year,headcount_growth_1_year_source_field,headcount_growth_1_year_status,revenue_revenue_band,revenue_revenue_band_source_field,revenue_revenue_band_status,industry,industry_source_field,industry_status,sub_industry,sub_industry_source_field,sub_industry_status,headquarters_location,headquarters_location_source_field,headquarters_location_status,number_of_sites_locations,number_of_sites_locations_source_field,number_of_sites_locations_status,founded_year,founded_year_source_field,founded_year_status,ownership_type,ownership_type_source_field,ownership_type_status,total_funding_raised,total_funding_raised_source_field,total_funding_raised_status
1,DBS Group,dbs.com,https://www.linkedin.com/company/dbs-bank,Wikipedia / LinkedIn,apollo,Success,raw\apollo\dbs_group.json,Not Verified,organization.name,Not Verified,dbs.com,organization.primary_domain,Available,http://www.linkedin.com/company/dbs-bank,organization.linkedin_url,Available,38000,organization.estimated_num_employees,Available,0.64%,organization.organization_headcount_twelve_month_growth,Available,16.4B,organization.annual_revenue_printed,Available,banking,organization.industry,Available,"financial services | NAICS: 522110, 523940 | SIC: 6021, 6211","organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,"12 Marina Boulevard, DBS Asia Central @ Marina Bay Financial Centre Tower 3, Singapore, 018982, SG",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1968,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
2,Singapore Telecommunications,singtel.com,https://www.linkedin.com/company/singtel,User provided company list,apollo,Success,raw\apollo\singapore_telecommunications.json,Not Verified,organization.name,Not Verified,singtel.com,organization.primary_domain,Available,http://www.linkedin.com/company/singtel,organization.linkedin_url,Available,25000,organization.estimated_num_employees,Available,4.12%,organization.organization_headcount_twelve_month_growth,Available,10.5B,organization.annual_revenue_printed,Available,telecommunications,organization.industry,Available,"information technology & services, computer & network security, computer networking, internet | NAICS: 517111, 517112, 541512 | SIC: 4812","organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,"10 Eunos Road 8, Singapore Post Centre #07-31, Singapore, 408600, SG",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1879,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
3,United Overseas Bank,uobgroup.com,https://www.linkedin.com/company/uob,User provided company list,apollo,Success,raw\apollo\united_overseas_bank.json,Not Verified,organization.name,Not Verified,uobgroup.com,organization.primary_domain,Available,http://www.linkedin.com/company/uob,organization.linkedin_url,Available,33000,organization.estimated_num_employees,Available,1.37%,organization.organization_headcount_twelve_month_growth,Available,10.9B,organization.annual_revenue_printed,Available,banking,organization.industry,Available,banking | NAICS: 52211 | SIC: 6021,"organization.industries, organization.naics_codes, organization.sic_codes",Available,"80 Raffles Place, Singapore, 048624, SG",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1935,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
4,ST Engineering,stengg.com,https://www.linkedin.com/company/st-engineering,User provided company list,apollo,Success,raw\apollo\st_engineering.json,Not Verified,organization.name,Not Verified,stengg.com,organization.primary_domain,Available,http://www.linkedin.com/company/st-engineering,organization.linkedin_url,Available,27000,organization.estimated_num_employees,Available,7.00%,organization.organization_headcount_twelve_month_growth,Available,8.3B,organization.annual_revenue_printed,Available,information technology & services,organization.industry,Available,computer hardware | NAICS: 33641 | SIC: 3531,"organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,"ST Engineering Hub, 1 Ang Mo Kio Electronics Park Road, #07-01, Singapore, 567710, SG",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1967,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
5,Toyota Motor Corporation,global.toyota,https://www.linkedin.com/company/toyota,User provided company list,apollo,Success,raw\apollo\toyota_motor_corporation.json,Not Verified,organization.name,Not Verified,global.toyota,organization.primary_domain,Available,http://www.linkedin.com/company/toyota,organization.linkedin_url,Available,384000,organization.estimated_num_employees,Available,1.99%,organization.organization_headcount_twelve_month_growth,Available,336.8B,organization.annual_revenue_printed,Available,automotive,organization.industry,Available,automotive | NAICS: 33611 | SIC: 3711,"organization.industries, organization.naics_codes, organization.sic_codes",Available,"1 Toyota-Cho, Toyota City, Aichi Prefecture 471-8571, JP",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1937,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
6,Sony Group Corporation,sony.com,https://www.linkedin.com/company/sony,User provided company list,apollo,Success,raw\apollo\sony_group_corporation.json,Not Verified,organization.name,Not Verified,sony.com,organization.primary_domain,Available,http://www.linkedin.com/company/sony,organization.linkedin_url,Available,113000,organization.estimated_num_employees,Available,0.35%,organization.organization_headcount_twelve_month_growth,Available,82.9B,organization.annual_revenue_printed,Available,entertainment,organization.industry,Available,"consumer electronics, computer games, music, information technology & services, computer hardware | NAICS: 334310, 513210, 512250 | SIC: 4833, 2741","organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,"1-7-1 Konan,, Minato-ku, Tokyo, 108-0075, JP",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1946,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
7,Samsung Electronics,samsung.com,https://www.linkedin.com/company/samsung-electronics,User provided company list,apollo,Success,raw\apollo\samsung_electronics.json,Not Verified,organization.name,Not Verified,samsung.com,organization.primary_domain,Available,http://www.linkedin.com/company/samsung-electronics,organization.linkedin_url,Available,127000,organization.estimated_num_employees,Available,0.50%,organization.organization_headcount_twelve_month_growth,Available,230.1B,organization.annual_revenue_printed,Available,electrical/electronic manufacturing,organization.industry,Available,"consumer electronics, consumer goods | NAICS: 33411 | SIC: 3571","organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,"129 Samsung-ro, Suwon-Si, Gyeonggi-Do 443-742, KR",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1969,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
8,SK Hynix,skhynix.com,https://www.linkedin.com/company/sk-hynix,User provided company list,apollo,Success,raw\apollo\sk_hynix.json,Not Verified,organization.name,Not Verified,skhynix.com,organization.primary_domain,Available,http://www.linkedin.com/company/sk-hynix,organization.linkedin_url,Available,32000,organization.estimated_num_employees,Available,1.24%,organization.organization_headcount_twelve_month_growth,Available,67B,organization.annual_revenue_printed,Available,semiconductors,organization.industry,Available,"semiconductors | NAICS: 33411, 334413 | SIC: 3674","organization.industries, organization.naics_codes, organization.sic_codes",Available,"2091, Gyeongchung-daero, Icheon-si, Gyeonggido, South Korea, 467701",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1983,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
9,Infosys,infosys.com,https://www.linkedin.com/company/infosys,User provided company list,apollo,Success,raw\apollo\infosys.json,Not Verified,organization.name,Not Verified,infosys.com,organization.primary_domain,Available,http://www.linkedin.com/company/infosys,organization.linkedin_url,Available,300000,organization.estimated_num_employees,Available,1.30%,organization.organization_headcount_twelve_month_growth,Available,20.2B,organization.annual_revenue_printed,Available,information technology & services,organization.industry,Available,"management consulting | NAICS: 541512, 541611 | SIC: 7375, 7373, 8742","organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,"Plot No. 44/97 A, 3rd cross, Hosur Road, Bangalore, Karnataka, India, 560100",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1981,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
10,BHP,bhp.com,https://www.linkedin.com/company/bhp,User provided company list,apollo,Success,raw\apollo\bhp.json,Not Verified,organization.name,Not Verified,bhp.com,organization.primary_domain,Available,http://www.linkedin.com/company/bhp,organization.linkedin_url,Available,39000,organization.estimated_num_employees,Available,0.70%,organization.organization_headcount_twelve_month_growth,Available,51.3B,organization.annual_revenue_printed,Available,mining & metals,organization.industry,Available,"oil & energy | NAICS: 21221, 2121, 2123 | SIC: 1031, 10, 12, 14","organization.secondary_industries, organization.naics_codes, organization.sic_codes",Available,"171 Collins Street, Melbourne, Victoria 3000, AU",organization.raw_address,Available,Not Verified,organization.retail_location_count,Not Verified,1851,organization.founded_year,Available,Public Company,"organization.publicly_traded_symbol, organization.publicly_traded_exchange",Derived from API,Not Available,Not Available,Not Available
