api_name,source_rank,company_name,domain,endpoint_used,request_params,http_status,success_failure,latency_ms,credits_consumed,credit_evidence,rate_limits,rate_limit_hit,records_retrieved,fields_available,fields_total,field_completeness_percent,raw_response_path,started_at,response_received_at,error_message
coresignal,1,DBS Group,dbs.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://dbs.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,13,13,100.00,raw\coresignal\data\dbs_group.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,2,Singapore Telecommunications,singtel.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://singtel.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,12,13,92.31,raw\coresignal\data\singapore_telecommunications.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,3,United Overseas Bank,uobgroup.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://uobgroup.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,12,13,92.31,raw\coresignal\data\united_overseas_bank.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,4,ST Engineering,stengg.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://stengg.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,13,13,100.00,raw\coresignal\data\st_engineering.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,5,Toyota Motor Corporation,global.toyota,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://global.toyota""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,12,13,92.31,raw\coresignal\data\toyota_motor_corporation.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,6,Sony Group Corporation,sony.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://sony.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,12,13,92.31,raw\coresignal\data\sony_group_corporation.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,7,Samsung Electronics,samsung.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://samsung.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,13,13,100.00,raw\coresignal\data\samsung_electronics.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,8,SK Hynix,skhynix.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://skhynix.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,13,13,100.00,raw\coresignal\data\sk_hynix.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,9,Infosys,infosys.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://infosys.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,13,13,100.00,raw\coresignal\data\infosys.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
coresignal,10,BHP,bhp.com,GET https://api.coresignal.com/cdapi/v2/company_multi_source/enrich?website={URL},"{""website"": ""https://bhp.com""}",200,Success,0 (reuse raw),0 (reused saved Coresignal raw export),No live Coresignal credits consumed in this report refresh; raw export copied under Firmographic/raw/coresignal/data.,Multi-source Company API documented enrichment rate limit: 18 req/sec.,N,1,13,13,100.00,raw\coresignal\data\bhp.json,2026-06-13T08:00:55Z,2026-06-13T08:00:55Z,
