source_rank,company_name,domain,api_name,field,status,reason,raw_response_path
1,DBS Group,dbs.com,Coresignal Multi-source Company Jobs Signals,Job locations,Not Available,No job locations returned in sampled postings.,raw/coresignal/data/dbs_group.json
1,DBS Group,dbs.com,Coresignal Multi-source Company Jobs Signals,Posting first-seen date,Not Available,No posting first-seen/posted date returned in sampled postings.,raw/coresignal/data/dbs_group.json
1,DBS Group,dbs.com,Coresignal Multi-source Company Jobs Signals,Source URL,Not Available,No source URLs returned in sampled postings.,raw/coresignal/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Coresignal Multi-source Company Jobs Signals,Job locations,Not Available,No job locations returned in sampled postings.,raw/coresignal/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Coresignal Multi-source Company Jobs Signals,Posting first-seen date,Not Available,No posting first-seen/posted date returned in sampled postings.,raw/coresignal/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Coresignal Multi-source Company Jobs Signals,Source URL,Not Available,No source URLs returned in sampled postings.,raw/coresignal/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Coresignal Multi-source Company Jobs Signals,Job locations,Not Available,No job locations returned in sampled postings.,raw/coresignal/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Coresignal Multi-source Company Jobs Signals,Posting first-seen date,Not Available,No posting first-seen/posted date returned in sampled postings.,raw/coresignal/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Coresignal Multi-source Company Jobs Signals,Source URL,Not Available,No source URLs returned in sampled postings.,raw/coresignal/data/united_overseas_bank.json
4,ST Engineering,stengg.com,Coresignal Multi-source Company Jobs Signals,Job locations,Not Available,No job locations returned in sampled postings.,raw/coresignal/data/st_engineering.json
4,ST Engineering,stengg.com,Coresignal Multi-source Company Jobs Signals,Posting first-seen date,Not Available,No posting first-seen/posted date returned in sampled postings.,raw/coresignal/data/st_engineering.json
4,ST Engineering,stengg.com,Coresignal Multi-source Company Jobs Signals,Source URL,Not Available,No source URLs returned in sampled postings.,raw/coresignal/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,Coresignal Multi-source Company Jobs Signals,Active job count (total),Not Available,No active total job count returned or parsed.,raw/coresignal/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Coresignal Multi-source Company Jobs Signals,Roles by function (eng/design/IT/sales/ops),Not Available,No job titles available for role/function classification.,raw/coresignal/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Coresignal Multi-source Company Jobs Signals,Job locations,Not Available,No job locations returned in sampled postings.,raw/coresignal/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Coresignal Multi-source Company Jobs Signals,Posting first-seen date,Not Available,No posting first-seen/posted date returned in sampled postings.,raw/coresignal/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Coresignal Multi-source Company Jobs Signals,Source URL,Not Available,No source URLs returned in sampled postings.,raw/coresignal/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Coresignal Multi-source Company Jobs Signals,Job locations,Not Available,No job locations returned in sampled postings.,raw/coresignal/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Coresignal Multi-source Company Jobs Signals,Posting first-seen date,Not Available,No posting first-seen/posted date returned in sampled postings.,raw/coresignal/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Coresignal Multi-source Company Jobs Signals,Source URL,Not Available,No source URLs returned in sampled postings.,raw/coresignal/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Coresignal Multi-source Company Jobs Signals,Job locations,Not Available,No job locations returned in sampled postings.,raw/coresignal/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Coresignal Multi-source Company Jobs Signals,Posting first-seen date,Not Available,No posting first-seen/posted date returned in sampled postings.,raw/coresignal/data/samsung_electronics.json
