source_rank,company_name,domain,api_name,events_last_12_months,event_type_counts,publishers,avg_relevance_confidence,latest_event_date,sample_event_count,data_completeness_percent,raw_response_path
1,DBS Group,dbs.com,Exa Search API,10,expansion: 2; funding: 3; launch: 1; other: 4,businesstimes.com.sg; coinreporter.io; dbs.com; fortune.com; marketscreener.com; prnewswire.com; technode.global,0.53,2026-06-11,10,100.00,raw/exa/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Exa Search API,10,M&A: 2; funding: 3; other: 3; partnership: 2,businesstimes.com.sg; businesswire.com; channelnewsasia.com; financialcontent.com; telecom.economictimes.indiatimes.com; telecomlive.in; telecomtv.com,0.52,2026-06-10,10,100.00,raw/exa/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Exa Search API,10,expansion: 1; leadership: 2; other: 6; partnership: 1,businesstimes.com.sg; caproasia.com; digifinasia.net; en.antaranews.com; en.baochinhphu.vn; english.thesaigontimes.vn; prnewswire.com; straitstimes.com; uobgroup.com,0.51,2026-06-08,10,100.00,raw/exa/data/united_overseas_bank.json
4,ST Engineering,stengg.com,Exa Search API,10,launch: 2; leadership: 1; other: 6; partnership: 1,airpronews.com; businesstimes.com.sg; hobbyistnews.com; satnews.com; sbr.com.sg; stengg.com; tkmsgroup.com,0.73,2026-05-28,10,100.00,raw/exa/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,10,funding: 2; other: 7; partnership: 1,asia.nikkei.com; automotiveworld.com; global.toyota; media.toyota.co.uk; newsroom.toyota.eu; pressroom.toyota.com; thnewswire.com; worktruckonline.com,0.56,2026-06-10,10,100.00,raw/exa/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Exa Search API,10,funding: 2; launch: 2; other: 1; partnership: 5,fintechobserver.com; gic.com.sg; globalsmt.net; marketscreener.com; sony.eu; stocktitan.net; webwire.com,0.54,2026-05-19,10,100.00,raw/exa/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Exa Search API,10,M&A: 2; expansion: 2; funding: 1; leadership: 1; other: 2; partnership: 2,coindesk.com; en.yna.co.kr; koreatimes.co.kr; news.samsung.com; samsungmobilepress.com; samsungsds.com,0.61,2026-06-09,10,100.00,raw/exa/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Exa Search API,10,funding: 2; launch: 1; other: 4; partnership: 3,ajupress.com; asiae.co.kr; en.sedaily.com; koreatimes.co.kr; news.skhynix.com; prnewswire.com,0.74,2026-06-08,10,100.00,raw/exa/data/sk_hynix.json
9,Infosys,infosys.com,Exa Search API,10,M&A: 6; other: 2; partnership: 2,nasdaq.com; prnewswire.co.uk; prnewswire.com,0.78,2026-06-11,10,100.00,raw/exa/data/infosys.json
10,BHP,bhp.com,Exa Search API,10,other: 5; partnership: 5,australianmining.com.au; bhp.com; businesswire.com; ess-news.com; pv-tech.org,0.84,2026-06-12,10,100.00,raw/exa/data/bhp.json
