source_rank,company_name,domain,api_name,event_headline,event_url,event_date,event_type,source_publisher,relevance_confidence,source_field,raw_response_path
1,DBS Group,dbs.com,Exa Search API,"Singapore's DBS to open 18 new Asian wealth centres, expand advisory push | MarketScreener",https://www.marketscreener.com/news/singapore-s-dbs-to-open-18-new-asian-wealth-centres-expand-advisory-push-ce7f5dd8df88f227,2026-06-01,expansion,marketscreener.com,0.55,results.0,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,"DBS partners Granite Asia to provide capital, financing for high-growth companies in Asia - The Business Times",https://www.businesstimes.com.sg/wealth/wealth-investing/dbs-partners-granite-asia-provide-capital-financing-high-growth-companies-asia,2026-02-23,funding,businesstimes.com.sg,0.55,results.1,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,DBS partners with Granite Asia to help counter the region's lack of capital with $110M AI IPO fund | Fortune,https://fortune.com/2026/02/22/dbs-granite-asia-partnership-tan-su-shan-jenny-lee-ai-ipo-fund/,2026-02-23,funding,fortune.com,0.55,results.2,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,DBS deepens Hong Kong bet with US$334 million purchase of six floors at The Center - The Business Times,https://www.businesstimes.com.sg/companies-markets/banking-finance/dbs-deepens-hong-kong-bet-us334-million-purchase-six-floors-center,2026-04-15,other,businesstimes.com.sg,0.45,results.3,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,"DBS, Climate Bonds Initiative team up to advance climate adaptation financing across APAC - TNGlobal",https://technode.global/2026/05/19/dbs-climate-bonds-initiative-team-up-to-advance-climate-adaptation-financing-across-apac/,2026-05-19,funding,technode.global,0.55,results.4,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,DBS launches tokenised gold for Singapore retail investors - The Business Times,https://www.businesstimes.com.sg/companies-markets/dbs-launch-tokenised-physical-gold-retail-customers-singapore,2026-06-11,launch,businesstimes.com.sg,0.55,results.5,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,DBS becomes first Singapore bank to help merchants accept card payments on smartphones,https://www.dbs.com/newsroom/DBS_becomes_first_Singapore_bank_to_help_merchants_accept_card_payments_on_smartphones,2026-06-09,other,dbs.com,0.60,results.6,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,DBS joins buzzing India IPO space with mandate in US$1 billion offering - The Business Times,https://www.businesstimes.com.sg/companies-markets/dbs-joins-buzzing-india-ipo-space-mandate-us1-billion-offering,2026-03-29,other,businesstimes.com.sg,0.45,results.7,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,DBS Bank Singapore Expands Tokenized Deposit Program - CoinReporter,https://www.coinreporter.io/2026/04/dbs-bank-singapore-expands-tokenized-deposit-program-to-50-corporate-clients-mas-approves-two-new-institutional-grade-rwa-custody-providers/,2026-04-17,expansion,coinreporter.io,0.55,results.8,raw/exa/data/dbs_group.json
1,DBS Group,dbs.com,Exa Search API,DBS is First Bank in Asia Pacific to Pilot Visa Intelligent Commerce for Everyday Payments,https://www.prnewswire.com/apac/news-releases/dbs-is-first-bank-in-asia-pacific-to-pilot-visa-intelligent-commerce-for-everyday-payments-302688457.html,2026-02-16,other,prnewswire.com,0.45,results.9,raw/exa/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Exa Search API,KKR-Led Consortium with Singtel Group to Fully Acquire ST Telemedia Global Data Centres at S$13.8 Billion Enterprise Value,https://www.businesswire.com/news/home/20260202441025/en/KKR-Led-Consortium-with-Singtel-Group-to-Fully-Acquire-ST-Telemedia-Global-Data-Centres-at-S%2413.8-Billion-Enterprise-Value,2026-02-03,M&A,businesswire.com,0.55,results.0,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,Singtel and KKR consortium to buy remaining stake in ST Telemedia Global Data Centres for S$6.6 billion - CNA,https://www.channelnewsasia.com/business/singtel-and-kkr-consortium-buy-remaining-stake-in-st-telemedia-global-data-centres-s66-billion-5905451,2026-02-04,other,channelnewsasia.com,0.45,results.1,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,"Singtel Digital InfraCo’s RE:AI and WEKA partner to deliver sovereign AI infrastructure across ASEAN, The AI-Native Telco | TelecomTV",https://www.telecomtv.com/content/ai/singtel-digital-infraco-s-re-ai-and-weka-partner-to-deliver-sovereign-ai-infrastructure-across-asean-55635/,2026-06-10,partnership,telecomtv.com,0.55,results.2,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,Singtel lands S$28 million funding from government for AI push - The Business Times,https://www.businesstimes.com.sg/companies-markets/singtel-lands-s28-million-funding-government-ai-push,2026-06-05,funding,businesstimes.com.sg,0.55,results.3,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,"Singtel gets funding boost from government to strengthen AI push, create 'high-value AI-related roles' - The Business Times",https://www.businesstimes.com.sg/companies-markets/singtel-gets-funding-boost-government-strengthen-ai-push-create-high-value-ai-related-roles,2026-06-05,funding,businesstimes.com.sg,0.55,results.4,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,"Singtel gets funding boost from government to strengthen AI push, create high-value roles - The Business Times",https://www.businesstimes.com.sg/companies-markets/singtel-gets-funding-boost-government-strengthen-ai-push-create-high-value-roles,2026-06-05,funding,businesstimes.com.sg,0.55,results.5,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,KKR-Led Consortium with Singtel Group to Fully Acquire ST Telemedia Global Data Centres at S$13.8 Billion Enterprise Value | FinancialContent,https://www.financialcontent.com/article/bizwire-2026-2-3-kkr-led-consortium-with-singtel-group-to-fully-acquire-st-telemedia-global-data-centres-at-s138-billion-enterprise-value,2026-02-03,M&A,financialcontent.com,0.55,results.6,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,From traditional telco to tech: Singtel steps up sovereign AI push with latest tie-up - The Business Times,https://www.businesstimes.com.sg/companies-markets/traditional-telco-tech-singtel-steps-sovereign-ai-push-latest-tie,2026-04-29,other,businesstimes.com.sg,0.45,results.7,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,Singtel partners with DISG to drive multi-year AI transformation internally – TelecomLive,https://telecomlive.in/web/2026/06/05/singtel-partners-with-disg-to-drive-multi-year-ai-transformation-internally/,2026-06-05,partnership,telecomlive.in,0.55,results.8,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,"Singtel and DISG Collaborate for Major AI Transformation in Singapore, ETTelecom",https://telecom.economictimes.indiatimes.com/news/industry/singtel-and-disg-collaborate-for-major-ai-transformation-in-singapore/131525880,2026-06-05,other,telecom.economictimes.indiatimes.com,0.45,results.9,raw/exa/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Exa Search API,UOB appoints new CEOs for China and Hong Kong branch - The Business Times,https://www.businesstimes.com.sg/companies-markets/uob-appoints-new-ceos-china-and-hong-kong-branch,2026-06-08,leadership,businesstimes.com.sg,0.55,results.0,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,"UOB and FPT sign MoU to advance AI, technology transformation and financial innovation opportunities",https://www.prnewswire.com/apac/news-releases/uob-and-fpt-sign-mou-to-advance-ai-technology-transformation-and-financial-innovation-opportunities-302786595.html,2026-06-01,other,prnewswire.com,0.45,results.1,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,AllianzGI in exclusive talks to buy UOB Asset Management: sources - The Business Times,https://www.businesstimes.com.sg/companies-markets/banking-finance/allianzgi-exclusive-talks-buy-uob-asset-management-sources,2026-06-05,other,businesstimes.com.sg,0.45,results.2,raw/exa/data/united_overseas_bank.json
