source_rank,company_name,domain,api_name,field,status,reason,raw_response_path
1,DBS Group,dbs.com,Google News RSS,"Event type (funding, expansion, launch, leadership, M&A)",Not Available,No classified key announcement event type parsed.,raw/google_news_rss/data/dbs_group.json
9,Infosys,infosys.com,Google News RSS,"Event type (funding, expansion, launch, leadership, M&A)",Not Available,No classified key announcement event type parsed.,raw/google_news_rss/data/infosys.json
10,BHP,bhp.com,Google News RSS,"Event type (funding, expansion, launch, leadership, M&A)",Not Available,No classified key announcement event type parsed.,raw/google_news_rss/data/bhp.json
8,SK Hynix,skhynix.com,NewsAPI Everything API,"Event type (funding, expansion, launch, leadership, M&A)",Not Available,No classified key announcement event type parsed.,raw/newsapi/data/sk_hynix.json
10,BHP,bhp.com,NewsAPI Everything API,"Event type (funding, expansion, launch, leadership, M&A)",Not Available,No classified key announcement event type parsed.,raw/newsapi/data/bhp.json
1,DBS Group,dbs.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/united_overseas_bank.json
4,ST Engineering,stengg.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/st_engineering.json
4,ST Engineering,stengg.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/st_engineering.json
4,ST Engineering,stengg.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/st_engineering.json
4,ST Engineering,stengg.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/st_engineering.json
4,ST Engineering,stengg.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/samsung_electronics.json
8,SK Hynix,skhynix.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sk_hynix.json
8,SK Hynix,skhynix.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sk_hynix.json
8,SK Hynix,skhynix.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sk_hynix.json
8,SK Hynix,skhynix.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sk_hynix.json
8,SK Hynix,skhynix.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/sk_hynix.json
9,Infosys,infosys.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/infosys.json
9,Infosys,infosys.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/infosys.json
9,Infosys,infosys.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/infosys.json
9,Infosys,infosys.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/infosys.json
9,Infosys,infosys.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/infosys.json
10,BHP,bhp.com,PredictLeads News/Events API,Event headline + URL + date,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/bhp.json
10,BHP,bhp.com,PredictLeads News/Events API,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/bhp.json
10,BHP,bhp.com,PredictLeads News/Events API,Source / publisher,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/bhp.json
10,BHP,bhp.com,PredictLeads News/Events API,Relevance / confidence,Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/bhp.json
10,BHP,bhp.com,PredictLeads News/Events API,"Coverage depth (events per account, last 12 months)",Not Tested,PredictLeads key is invalid/missing in this workspace; not executed.,raw/predictleads/data/bhp.json
1,DBS Group,dbs.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/dbs_group.json
1,DBS Group,dbs.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/dbs_group.json
1,DBS Group,dbs.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/dbs_group.json
1,DBS Group,dbs.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/dbs_group.json
1,DBS Group,dbs.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/united_overseas_bank.json
4,ST Engineering,stengg.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/st_engineering.json
4,ST Engineering,stengg.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/st_engineering.json
4,ST Engineering,stengg.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/st_engineering.json
4,ST Engineering,stengg.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/st_engineering.json
4,ST Engineering,stengg.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
